resp_id,time_saved_mins_daily,error_reduction_pct,ease_of_use_1to5,interaction_alert_utility_1to5,offline_reliability_1to5,recommend_to_other_ashrams_1to5
RESP-01,47,84.0,5,5,5,5
RESP-02,54,93.0,5,5,5,5
RESP-03,61,81.0,4,5,5,5
RESP-04,68,90.0,5,4,5,5
RESP-05,40,78.0,5,5,5,4
RESP-06,47,87.0,4,5,5,5
RESP-07,54,75.0,5,5,5,5
RESP-08,61,84.0,5,4,5,5
RESP-09,68,93.0,4,5,5,5
RESP-10,40,81.0,5,5,5,4
RESP-11,47,90.0,5,5,5,5
RESP-12,54,78.0,4,4,5,5
RESP-13,61,87.0,5,5,5,5
RESP-14,68,75.0,5,5,5,5
RESP-15,40,84.0,4,5,5,4
RESP-16,47,93.0,5,4,5,5
RESP-17,54,81.0,5,5,5,5
RESP-18,61,90.0,4,5,5,5
RESP-19,68,78.0,5,5,5,5
RESP-20,40,87.0,5,4,5,4
RESP-21,47,75.0,4,5,5,5
RESP-22,54,84.0,5,5,5,5
RESP-23,61,93.0,5,5,5,5
RESP-24,68,81.0,4,4,5,5
RESP-25,40,90.0,5,5,5,4
RESP-26,47,78.0,5,5,5,5
RESP-27,54,87.0,4,5,5,5
RESP-28,61,75.0,5,4,5,5
RESP-29,68,84.0,5,5,5,5
RESP-30,40,93.0,4,5,5,4
RESP-31,47,81.0,5,5,5,5
RESP-32,54,90.0,5,4,5,5
RESP-33,61,78.0,4,5,5,5
RESP-34,68,87.0,5,5,5,5
RESP-35,40,75.0,5,5,5,4
RESP-36,47,84.0,4,4,5,5
RESP-37,54,93.0,5,5,5,5
RESP-38,61,81.0,5,5,5,5
RESP-39,68,90.0,4,5,5,5
RESP-40,40,78.0,5,4,5,4
RESP-41,47,87.0,5,5,5,5
RESP-42,54,75.0,4,5,5,5
RESP-43,61,84.0,5,5,5,5
RESP-44,68,93.0,5,4,5,5
RESP-45,40,81.0,4,5,5,4
RESP-46,47,90.0,5,5,5,5
RESP-47,54,78.0,5,5,5,5
RESP-48,61,87.0,4,4,5,5
RESP-49,68,75.0,5,5,5,5
RESP-50,40,84.0,5,5,5,4
RESP-51,47,93.0,4,5,5,5
RESP-52,54,81.0,5,4,5,5
